Relatório;;;;;;
Arquivo criado em:2024-02-23 17:33:56;;;;;;
;;;;;;
Informação de dispositivo;;;;;;
Modelo do dispositivo;RC-51H;;Tipo de Sensor;Temperatura & Umidade(Interna);;
Número de série;EL2205000383;;Versão do firmware;V2,2;;
Número da Viagem;;;;;;
Número da Viagem;0000001;;;;;
Número da Viagem;Qualificacao Termica.                                                                              ;;;;;
Config. informação;;;;;;
Modo Iniciar;Início cronometrado;;Intervalo de registro;0:1:0;;
Atraso de início;0H0M;;Repita o início;Habilitar;;
Fuso horário;UTC -03:00;;Modo de parada;Botão + Software;;
Luz;Desabilitar;;O intervalo é encurtado após o limite ser excedido;Desabilitar;;
Mark Time;;;;;;
N/A;;;;;;
;;;;;;
Limiar de Alarme;Atraso de alarme;Duração acima do limite;Tempos acima do limite;Status de Alarme;;
H3:;;;;;;
H2:;;;;;;
H1:30,0°C;0D 0H 0M 0S;3D 8H 24M 0S;22;Alarme;;
Zona Ideal;Ilimitado;0D 0H 0M 0S;;;;
L1:15,0°C;0D 0H 0M 0S;0D 0H 0M 0S;0;Normal;;
L2:;;;;;;
Acima:;;;;;;
Zona Ideal;Ilimitado;;;;;
Abaixo:;;;;;;
Resumo;;;;;;
Máximo;32,8°C / 78,3%RH;;Primeira leitura;2024-02-15 18:00:00;;
Mínimo;27,9°C / 66,4%RH;;Ultima leitura;2024-02-21 18:00:00(Pare quando estiver cheio);;
Média;30,3°C / 73,5%RH;;Tempo de gravação;6D 0H 0M 0S;;
MKT;30,2°C;;Leituras Atuais;8641;;
Primeiro alarme(Temperatura);2024-02-15 18:00:00;;Primeiro alarme(Umidade);N/A;;
;;;;;;
Não.;Tempo;Temperatura°C;Umidade%RH;;;
6941;2024-02-20 13:40:00;32,8;68,7;;;
6942;2024-02-20 13:41:00;32,8;68,7;;;
6943;2024-02-20 13:42:00;32,8;68,7;;;
6944;2024-02-20 13:43:00;32,8;68,6;;;
6945;2024-02-20 13:44:00;32,8;68,6;;;
6946;2024-02-20 13:45:00;32,8;68,6;;;
6947;2024-02-20 13:46:00;32,8;68,6;;;
6948;2024-02-20 13:47:00;32,8;68,6;;;
6949;2024-02-20 13:48:00;32,8;68,6;;;
6950;2024-02-20 13:49:00;32,8;68,6;;;
6951;2024-02-20 13:50:00;32,8;68,6;;;
6952;2024-02-20 13:51:00;32,8;68,6;;;
6953;2024-02-20 13:52:00;32,8;68,5;;;
6954;2024-02-20 13:53:00;32,8;68,5;;;
6955;2024-02-20 13:54:00;32,8;68,5;;;
6956;2024-02-20 13:55:00;32,8;68,4;;;
6957;2024-02-20 13:56:00;32,8;68,3;;;
6958;2024-02-20 13:57:00;32,8;68,3;;;
6959;2024-02-20 13:58:00;32,8;68,3;;;
6960;2024-02-20 13:59:00;32,8;68,3;;;
6962;2024-02-20 14:01:00;32,8;68,3;;;
6963;2024-02-20 14:02:00;32,8;68,2;;;
6964;2024-02-20 14:03:00;32,8;68,2;;;
6965;2024-02-20 14:04:00;32,8;68,1;;;
6966;2024-02-20 14:05:00;32,8;68,1;;;
6967;2024-02-20 14:06:00;32,8;67,8;;;
6902;2024-02-20 13:01:00;32,7;68,3;;;
6903;2024-02-20 13:02:00;32,7;68,2;;;
6906;2024-02-20 13:05:00;32,7;68,2;;;
6907;2024-02-20 13:06:00;32,7;68,2;;;
6908;2024-02-20 13:07:00;32,7;68,2;;;
6911;2024-02-20 13:10:00;32,7;68,1;;;
6916;2024-02-20 13:15:00;32,7;68,2;;;
6917;2024-02-20 13:16:00;32,7;68,1;;;
6918;2024-02-20 13:17:00;32,7;68,2;;;
6919;2024-02-20 13:18:00;32,7;68,1;;;
6921;2024-02-20 13:20:00;32,7;68,3;;;
6922;2024-02-20 13:21:00;32,7;68,4;;;
6923;2024-02-20 13:22:00;32,7;68,4;;;
6924;2024-02-20 13:23:00;32,7;68,4;;;
6925;2024-02-20 13:24:00;32,7;68,4;;;
6926;2024-02-20 13:25:00;32,7;68,4;;;
6927;2024-02-20 13:26:00;32,7;68,4;;;
6928;2024-02-20 13:27:00;32,7;68,5;;;
6929;2024-02-20 13:28:00;32,7;68,6;;;
6930;2024-02-20 13:29:00;32,7;68,6;;;
6931;2024-02-20 13:30:00;32,7;68,6;;;
6932;2024-02-20 13:31:00;32,7;68,6;;;
6933;2024-02-20 13:32:00;32,7;68,6;;;
6934;2024-02-20 13:33:00;32,7;68,6;;;
6935;2024-02-20 13:34:00;32,7;68,6;;;
6936;2024-02-20 13:35:00;32,7;68,7;;;
6937;2024-02-20 13:36:00;32,7;68,7;;;
6938;2024-02-20 13:37:00;32,7;68,7;;;
6939;2024-02-20 13:38:00;32,7;68,7;;;
6940;2024-02-20 13:39:00;32,7;68,7;;;
6961;2024-02-20 14:00:00;32,7;68,2;;;
6968;2024-02-20 14:07:00;32,7;67,6;;;
6969;2024-02-20 14:08:00;32,7;67,4;;;
6970;2024-02-20 14:09:00;32,7;67,3;;;
6971;2024-02-20 14:10:00;32,7;67,2;;;
6972;2024-02-20 14:11:00;32,7;67,3;;;
6973;2024-02-20 14:12:00;32,7;67,1;;;
6974;2024-02-20 14:13:00;32,7;67,1;;;
6975;2024-02-20 14:14:00;32,7;67,1;;;
6976;2024-02-20 14:15:00;32,7;67,1;;;
6977;2024-02-20 14:16:00;32,7;67,1;;;
6978;2024-02-20 14:17:00;32,7;67,1;;;
6979;2024-02-20 14:18:00;32,7;67;;;
6980;2024-02-20 14:19:00;32,7;67;;;
6982;2024-02-20 14:21:00;32,7;67;;;
6983;2024-02-20 14:22:00;32,7;66,9;;;
6984;2024-02-20 14:23:00;32,7;67;;;
6987;2024-02-20 14:26:00;32,7;66,9;;;
6988;2024-02-20 14:27:00;32,7;66,9;;;
6990;2024-02-20 14:29:00;32,7;66,9;;;
7058;2024-02-20 15:37:00;32,7;67;;;
