Tempo;Temperatura°C
2025-11-12 09:49:05;30.6
2025-11-12 10:04:05;30.8
2025-11-12 10:19:05;31.3
2025-11-12 10:34:05;31.6
2025-11-12 10:49:05;31.5
2025-11-12 11:04:05;31.6
2025-11-12 11:19:05;31.7
2025-11-12 11:34:05;31.3
2025-11-12 11:49:05;31.4
2025-11-12 12:04:05;31.4
2025-11-12 12:19:05;31.4
2025-11-12 12:34:05;31.5
2025-11-12 12:49:05;31.8
2025-11-12 13:04:05;31.2
2025-11-12 13:19:05;31.3
2025-11-12 13:34:05;31.5
2025-11-12 13:49:05;31.4
2025-11-12 14:04:05;31.1
2025-11-12 14:19:05;31.0
2025-11-12 14:34:05;31.0
2025-11-12 14:49:05;31.2
2025-11-12 15:04:05;31.3
2025-11-12 15:19:05;30.9
2025-11-12 15:34:05;30.7
2025-11-12 15:49:05;30.5
2025-11-12 16:04:05;30.3
2025-11-12 16:19:05;30.3
2025-11-12 16:34:05;30.1
2025-11-12 16:49:05;29.8
2025-11-12 17:04:05;29.6
2025-11-12 17:19:05;29.6
2025-11-12 17:34:05;29.6
2025-11-12 17:49:05;29.3
2025-11-12 18:04:05;29.3
2025-11-12 18:19:05;29.2
2025-11-12 18:34:05;29.3
2025-11-12 18:49:05;29.1
2025-11-12 19:04:05;29.1
2025-11-12 19:19:05;29.2
2025-11-12 19:34:05;29.1
2025-11-12 19:49:05;29.0
2025-11-12 20:04:05;28.8
2025-11-12 20:19:05;28.6
2025-11-12 20:34:05;28.6
2025-11-12 20:49:05;28.5
2025-11-12 21:04:05;28.4
2025-11-12 21:19:05;28.6
2025-11-12 21:34:05;28.7
2025-11-12 21:49:05;28.7
2025-11-12 22:04:05;28.7
2025-11-12 22:19:05;28.6
2025-11-12 22:34:05;28.5
2025-11-12 22:49:05;28.5
2025-11-12 23:04:05;28.5
2025-11-12 23:19:05;28.4
2025-11-12 23:34:05;28.4
2025-11-12 23:49:05;28.3
2025-11-13 00:04:05;28.2
2025-11-13 00:19:05;28.2
2025-11-13 00:34:05;28.1
2025-11-13 00:49:05;28.1
2025-11-13 01:04:05;28.1
2025-11-13 01:19:05;28.1
2025-11-13 01:34:05;28.1
2025-11-13 01:49:05;28.1
2025-11-13 02:04:05;28.0
2025-11-13 02:19:05;28.0
2025-11-13 02:34:05;28.0
2025-11-13 02:49:05;28.0
2025-11-13 03:04:05;28.0
2025-11-13 03:19:05;27.6
2025-11-13 03:34:05;27.4
2025-11-13 03:49:05;27.2
2025-11-13 04:04:05;27.2
2025-11-13 04:19:05;27.1
2025-11-13 04:34:05;27.0
2025-11-13 04:49:05;26.9
2025-11-13 05:04:05;26.8
2025-11-13 05:19:05;26.8
2025-11-13 05:34:05;26.8
2025-11-13 05:49:05;26.9
2025-11-13 06:04:05;27.1
2025-11-13 06:19:05;27.4
2025-11-13 06:34:05;27.8
2025-11-13 06:49:05;28.1
2025-11-13 07:04:05;28.4
2025-11-13 07:19:05;28.7
2025-11-13 07:34:05;28.9
2025-11-13 07:49:05;29.0
2025-11-13 08:04:05;29.2
2025-11-13 08:19:05;29.4
2025-11-13 08:34:05;29.3
2025-11-13 08:49:05;29.4
2025-11-13 09:04:05;29.5
2025-11-13 09:19:05;29.7
2025-11-13 09:34:05;29.6
2025-11-13 09:49:05;29.4
2025-11-13 10:04:05;29.5
2025-11-13 10:19:05;29.6
2025-11-13 10:34:05;29.9
2025-11-13 10:49:05;30.2
2025-11-13 11:04:05;30.4
2025-11-13 11:19:05;30.4
2025-11-13 11:34:05;30.6
2025-11-13 11:49:05;30.9
2025-11-13 12:04:05;31.3
2025-11-13 12:19:05;31.1
2025-11-13 12:34:05;31.2
2025-11-13 12:49:05;31.2
2025-11-13 13:04:05;31.2
2025-11-13 13:19:05;31.1
2025-11-13 13:34:05;31.4
2025-11-13 13:49:05;31.2
2025-11-13 14:04:05;31.2
2025-11-13 14:19:05;30.8
2025-11-13 14:34:05;30.8
2025-11-13 14:49:05;30.9
2025-11-13 15:04:05;31.5
2025-11-13 15:19:05;29.7
2025-11-13 15:34:05;28.8
2025-11-13 15:49:05;28.4
2025-11-13 16:04:05;28.2
2025-11-13 16:19:05;28.3
2025-11-13 16:34:05;28.4
2025-11-13 16:49:05;28.6
2025-11-13 17:04:05;28.5
2025-11-13 17:19:05;28.3
2025-11-13 17:34:05;28.2
2025-11-13 17:49:05;28.2
2025-11-13 18:04:05;28.2
2025-11-13 18:19:05;28.2
2025-11-13 18:34:05;28.1
2025-11-13 18:49:05;28.1
2025-11-13 19:04:05;28.0
2025-11-13 19:19:05;28.0
2025-11-13 19:34:05;28.0
2025-11-13 19:49:05;28.0
2025-11-13 20:04:05;28.1
2025-11-13 20:19:05;27.9
2025-11-13 20:34:05;27.8
