label,name,admin1,country,country_code,latitude,longitude,timezone,elevation,dados_completos
"Base Aérea de Manaus, Amazonas (BR)",Base Aérea de Manaus,Amazonas,Brasil,BR,-3.14604,-59.9863,America/Manaus,81.0,"{""id"": 6301856, ""name"": ""Base Aérea de Manaus"", ""latitude"": -3.14604, ""longitude"": -59.9863, ""elevation"": 81.0, ""feature_code"": ""AIRB"", ""country_code"": ""BR"", ""admin1_id"": 3665361, ""admin2_id"": 6319328, ""timezone"": ""America/Manaus"", ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Amazonas"", ""admin2"": ""Manaus""}"
"Belo Horizonte, Alagoas (BR)",Belo Horizonte,Alagoas,Brasil,BR,-9.8,-36.33333,America/Maceio,170.0,"{""id"": 3405814, ""name"": ""Belo Horizonte"", ""latitude"": -9.8, ""longitude"": -36.33333, ""elevation"": 170.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3408096, ""admin2_id"": 6320627, ""timezone"": ""America/Maceio"", ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Alagoas"", ""admin2"": ""Campo Alegre""}"
"Belo Horizonte, Minas Gerais (BR)",Belo Horizonte,Minas Gerais,Brasil,BR,-19.92083,-43.93778,America/Sao_Paulo,888.0,"{""id"": 3470127, ""name"": ""Belo Horizonte"", ""latitude"": -19.92083, ""longitude"": -43.93778, ""elevation"": 888.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3457153, ""admin2_id"": 6321162, ""timezone"": ""America/Sao_Paulo"", ""population"": 2721564, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Minas Gerais"", ""admin2"": ""Belo Hte""}"
"Belo Horizonte, Sergipe (BR)",Belo Horizonte,Sergipe,Brasil,BR,-9.78333,-37.86667,America/Maceio,288.0,"{""id"": 3405815, ""name"": ""Belo Horizonte"", ""latitude"": -9.78333, ""longitude"": -37.86667, ""elevation"": 288.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3447799, ""admin2_id"": 6319169, ""timezone"": ""America/Maceio"", ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Sergipe"", ""admin2"": ""Canindé de São Francisco""}"
"Belém, Paraíba (BR)",Belém,Paraíba,Brasil,BR,-6.69167,-35.53333,America/Fortaleza,140.0,"{""id"": 3405863, ""name"": ""Belém"", ""latitude"": -6.69167, ""longitude"": -35.53333, ""elevation"": 140.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3393098, ""admin2_id"": 6320280, ""timezone"": ""America/Fortaleza"", ""population"": 15550, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Paraíba"", ""admin2"": ""Belém""}"
"Belém, Pará (BR)",Belém,Pará,Brasil,BR,-1.45583,-48.50444,America/Belem,15.0,"{""id"": 3405870, ""name"": ""Belém"", ""latitude"": -1.45583, ""longitude"": -48.50444, ""elevation"": 15.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3393129, ""admin2_id"": 6319377, ""timezone"": ""America/Belem"", ""population"": 1499641, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Pará"", ""admin2"": ""Belém""}"
"Brasília de Minas, Minas Gerais (BR)",Brasília de Minas,Minas Gerais,Brasil,BR,-16.20639,-44.43333,America/Sao_Paulo,728.0,"{""id"": 3469057, ""name"": ""Brasília de Minas"", ""latitude"": -16.20639, ""longitude"": -44.43333, ""elevation"": 728.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3457153, ""admin2_id"": 6321189, ""timezone"": ""America/Sao_Paulo"", ""population"": 14728, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Minas Gerais"", ""admin2"": ""Brasília de Minas""}"
"Brasília, Distrito Federal (BR)",Brasília,Distrito Federal,Brasil,BR,-15.77972,-47.92972,America/Sao_Paulo,1136.0,"{""id"": 3469058, ""name"": ""Brasília"", ""latitude"": -15.77972, ""longitude"": -47.92972, ""elevation"": 1136.0, ""feature_code"": ""PPLC"", ""country_code"": ""BR"", ""admin1_id"": 3463504, ""admin2_id"": 6324222, ""timezone"": ""America/Sao_Paulo"", ""population"": 2207718, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Distrito Federal"", ""admin2"": ""Brasília""}"
"Cabedelo, Paraíba (BR)",Cabedelo,Paraíba,Brasil,BR,-6.98111,-34.83389,America/Fortaleza,7.0,"{""id"": 3404558, ""name"": ""Cabedelo"", ""latitude"": -6.98111, ""longitude"": -34.83389, ""elevation"": 7.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3393098, ""admin2_id"": 6320294, ""timezone"": ""America/Fortaleza"", ""population"": 54839, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Paraíba"", ""admin2"": ""Cabedelo""}"
"Campina Grande do Sul, Paraná (BR)",Campina Grande do Sul,Paraná,Brasil,BR,-25.30556,-49.05528,America/Sao_Paulo,885.0,"{""id"": 3467877, ""name"": ""Campina Grande do Sul"", ""latitude"": -25.30556, ""longitude"": -49.05528, ""elevation"": 885.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3455077, ""admin2_id"": 6322714, ""timezone"": ""America/Sao_Paulo"", ""population"": 31112, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Paraná"", ""admin2"": ""Campina Grande do Sul""}"
"Campina Grande, Amapá (BR)",Campina Grande,Amapá,Brasil,BR,0.17989,-51.12306,America/Belem,8.0,"{""id"": 3403643, ""name"": ""Campina Grande"", ""latitude"": 0.17989, ""longitude"": -51.12306, ""elevation"": 8.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3407762, ""admin2_id"": 6319498, ""timezone"": ""America/Belem"", ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Amapá"", ""admin2"": ""Macapá""}"
"Campina Grande, Paraíba (BR)",Campina Grande,Paraíba,Brasil,BR,-7.23056,-35.88111,America/Fortaleza,508.0,"{""id"": 3403642, ""name"": ""Campina Grande"", ""latitude"": -7.23056, ""longitude"": -35.88111, ""elevation"": 508.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3393098, ""admin2_id"": 6320302, ""timezone"": ""America/Fortaleza"", ""population"": 348936, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Paraíba"", ""admin2"": ""Campina Grande""}"
"Curitiba, Paraná (BR)",Curitiba,Paraná,Brasil,BR,-25.42778,-49.27306,America/Sao_Paulo,924.0,"{""id"": 3464975, ""name"": ""Curitiba"", ""latitude"": -25.42778, ""longitude"": -49.27306, ""elevation"": 924.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3455077, ""admin2_id"": 6322752, ""timezone"": ""America/Sao_Paulo"", ""population"": 1948626, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Paraná"", ""admin2"": ""Curitiba""}"
"Curitiba, Rio de Janeiro (BR)",Curitiba,Rio de Janeiro,Brasil,BR,-21.51839,-42.01225,America/Sao_Paulo,304.0,"{""id"": 13007682, ""name"": ""Curitiba"", ""latitude"": -21.51839, ""longitude"": -42.01225, ""elevation"": 304.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3451189, ""admin2_id"": 6322012, ""timezone"": ""America/Sao_Paulo"", ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Rio de Janeiro"", ""admin2"": ""Cambuci""}"
"Fortaleza, Bahia (BR)",Fortaleza,Bahia,Brasil,BR,-9.86667,-40.4,America/Bahia,516.0,"{""id"": 3399400, ""name"": ""Fortaleza"", ""latitude"": -9.86667, ""longitude"": -40.4, ""elevation"": 516.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3471168, ""admin2_id"": 6320923, ""timezone"": ""America/Bahia"", ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Bahia"", ""admin2"": ""Juazeiro""}"
"Fortaleza, Ceará (BR)",Fortaleza,Ceará,Brasil,BR,-3.71722,-38.54306,America/Fortaleza,18.0,"{""id"": 3399415, ""name"": ""Fortaleza"", ""latitude"": -3.71722, ""longitude"": -38.54306, ""elevation"": 18.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3402362, ""admin2_id"": 6320062, ""timezone"": ""America/Fortaleza"", ""population"": 2400000, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Ceará"", ""admin2"": ""Fortaleza""}"
"Frei Paulo, Sergipe (BR)",Frei Paulo,Sergipe,Brasil,BR,-10.54944,-37.53444,America/Maceio,276.0,"{""id"": 3462944, ""name"": ""Frei Paulo"", ""latitude"": -10.54944, ""longitude"": -37.53444, ""elevation"": 276.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3447799, ""admin2_id"": 3462943, ""timezone"": ""America/Maceio"", ""population"": 7047, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Sergipe"", ""admin2"": ""Frei Paulo""}"
"Igarapé Açu, Pará (BR)",Igarapé Açu,Pará,Brasil,BR,-1.12889,-47.62,America/Belem,39.0,"{""id"": 3398350, ""name"": ""Igarapé Açu"", ""latitude"": -1.12889, ""longitude"": -47.62, ""elevation"": 39.0, ""feature_code"": ""PPL"", ""country_code"": ""BR"", ""admin1_id"": 3393129, ""admin2_id"": 6319409, ""timezone"": ""America/Belem"", ""population"": 24136, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Pará"", ""admin2"": ""Igarapé-Açu""}"
"João Pessoa, Paraíba (BR)",João Pessoa,Paraíba,Brasil,BR,-7.115,-34.86306,America/Fortaleza,45.0,"{""id"": 3397277, ""name"": ""João Pessoa"", ""latitude"": -7.115, ""longitude"": -34.86306, ""elevation"": 45.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3393098, ""admin2_id"": 6320340, ""timezone"": ""America/Fortaleza"", ""population"": 817511, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Paraíba"", ""admin2"": ""João Pessoa""}"
"Manaus, Amazonas (BR)",Manaus,Amazonas,Brasil,BR,-3.10194,-60.025,America/Manaus,20.0,"{""id"": 3663517, ""name"": ""Manaus"", ""latitude"": -3.10194, ""longitude"": -60.025, ""elevation"": 20.0, ""feature_code"": ""PPLA"", ""country_code"": ""BR"", ""admin1_id"": 3665361, ""admin2_id"": 6319328, ""timezone"": ""America/Manaus"", ""population"": 2219580, ""country_id"": 3469034, ""country"": ""Brasil"", ""admin1"": ""Amazonas"", ""admin2"": ""Manaus""}"
